S/no	Adda Names	Visit Remarks	Drivers	location
1	nagan chowrangi			"24.965121, 67.066983"
2	people's chowrangi			"24.948016, 67.065895"
3	lalukhet 10 number			"24.918871, 67.053915"
4	3 hatti			"24.892176, 67.043476"
5	Up			"24.973082, 67.066732"
6	Godhra			"24.965549, 67.079560"
7	Water Pump			"24.936833, 67.075998"
8	qalandri chowk			"24.959703, 67.049660"
9	ayesha manzil chowrangi			"24.927607, 67.064446"
10	liaquatabad 10 number			"24.909546, 67.049336"
11	Ziauddin Chowrangi			"24.925585, 67.045800"
12	karimabad 			"24.918642, 67.053947"
13	hussainabad			"24.914738, 67.057445"
14	askari park			"24.895389, 67.065136"
15	bahadurabad			"24.882485, 67.067229"
16	gulshan-e-iqbal			"24.915429, 67.093104"
17	mosamiat			"24.936386, 67.140013"
18	gurumandir 			"24.880511, 67.039090"
19	gulshan-e-jauhar chowrangi	visit area  - 19/1/2018		"24.912412, 67.125641"
20	4 k chowrangi			
21	malier halt	visit area no vehicle  - 19/1/2018		
22	dig road 	visit area no vehicle  - 20/1/2018		
23	saddar ashu center	visit area  - 25/1/2018		"24.855852, 67.028113"
24	saddar light house	visit area  - 25/1/2018		"24.855527, 67.008578"
25	saddar pan mandi	visit area  - 25/1/2018		
26	saddar empress market	visit area  - 27/1/2018		"24.863114, 67.028219"
27	saddar lucky star	visit area  - 27/1/2018		"24.857311, 67.033073"
28	saddar elaku house 	visit area  - 27/1/2018		"24.858374, 67.027450"
29	ariport road	visit area no vehicle  - 19/1/2018		
30	saddar rex center	visit area  - 27/1/2018		"24.855207, 67.029843"
31	gulshan 13d	visit area  - 22/1/2018		"24.903309, 67.069986"
32	jauhar more	visit area  - 20/1/2018		"24.900613, 67.116193"
33	saddar regal chowk	visit area  - 27/1/2018 / 29/1/2018		"24.860443, 67.025372"
34	saddar zainab market	visit area - 29/1/2018		"24.855834, 67.028458"
35	hub chowki	visit area - 31/1/2018		"24.933183, 66.940554"
36	saddar Urdu bazar	visit area no vehicle  - 31/1/2018		
37	jail chorangi	visit area no vehicle  - 29/1/2018		
38	saddar Aram bagh	visit area - 31/1/2018		"24.855491, 67.012019"
39	rainbow center	visit area no vehicle  - 31/1/2018		
40	numaish chowrangi	visit area no vehicle  - 25/1/2018		
41	saddar shaheen complex	visit area no vehicle  - 29/1/2018		
42	saddar ii chundri road	visit area no vehicle  - 29/1/2018		
43	saddar bohra peer	visit area - 31/1/2018		"24.862217, 67.014260"
44	dha phase 2	visit area - 8/2/2018		"33.530791, 73.163166"
45	dha phase 4	visit area - 8/2/2018		"24.824609, 67.057048"
46	dha badar commercial	visit area - 7/2/2018		"24.798169, 67.044976"
47	jamatkhana iqbal center 	visit area  - 31/1/2018		"24.860880, 67.016188"
48	dha bukhari commercial	visit area - 7/2/2018		"24.793045, 67.065596"
49	haji camp	visit area - 31/1/2018		"24.864444, 67.008474"
50	dha saher commercial	visit area - 31/1/2018		"24.815069, 67.071314"
51	dha bukhari mishra shah	visit area - 7/2/2018		"24.793045, 67.065596"
52	dalmia	visit area  - 22/1/2018		"24.900082, 67.106978"
53	buns road	visit area no vehicle  - 31/1/2018		
54	clifton block 4	visit area  - 06/2/2018		"24.810540, 67.031329"
55	cliften toheed	visit area  - 06/2/2018		"24.813928, 67.028215"
56	clifton zamzama	visit area  - 06/2/2018		"24.817429, 67.040968"
57	gizri clifton	visit area  - 06/2/2018		"24.821929, 67.046122"
